period,item_id,name,query,title,url,brand_tier,cba_flag,category,in_stock,promo_flag,price_original,price_promo,price_final,unit_price_base,qty_base,expected_qty,cost_item_ae,substitution
2025-09,pollo_fresco_kg,Pollo Fresco La Anónima (Kg),PINNED,Pollo Fresco La Anónima (Kg),https://supermercado.laanonimaonline.com/carniceria/pollo/pollo-fresco-la-anonima-kg/art_2330/,estandar,si,,True,True,3990.0,3990.0,3990.0,3990.0,1.0,0.0,,
2025-09,asado_con_hueso_kg,Asado c/ Hueso Estancias LA (Kg),PINNED,Asado c/ Hueso Estancias LA (Kg),https://supermercado.laanonimaonline.com/carniceria/carne-vacuna/asado-c-hueso-estancias-la-kg/art_2336/,estandar,si,,True,True,13990.0,13990.0,13990.0,13990.0,1.0,0.0,,
2025-09,filet_merluza_1kg,Filet de Merluza Artesanos del Mar x 1 Kg.,PINNED,Filet de Merluza Artesanos del Mar x 1 Kg.,https://supermercado.laanonimaonline.com/congelados/pescados-y-mariscos/filet-de-merluza-artesanos-del-mar-x-1-kg/art_26600/,estandar,si,,True,True,16050.0,16050.0,16050.0,16050.0,1.0,0.0,,
2025-09,manzana_red_kg,Manzana Red Elegida (Kg),PINNED,Manzana Red Elegida (Kg),https://supermercado.laanonimaonline.com/frutas-y-verduras/manzana-red-elegida-kg/art_2399/,estandar,si,,True,True,3490.0,3490.0,3490.0,3490.0,1.0,0.0,,
2025-09,banana_ecuador_kg,Banana Ecuador (Kg),PINNED,Banana Ecuador (Kg),https://supermercado.laanonimaonline.com/frutas-y-verduras/frutas-frescas/banana-ecuador-kg/art_2393/,estandar,si,,True,True,3490.0,3490.0,3490.0,3490.0,1.0,0.0,,
2025-09,naranja_kg,Naranja (Kg),PINNED,Naranja (Kg),https://supermercado.laanonimaonline.com/frutas-y-verduras/frutas-frescas/naranja-kg/art_2401/,estandar,si,,True,True,2499.0,2499.0,2499.0,2499.0,1.0,0.0,,
2025-09,tomate_redondo_kg,Tomate Redondo (Kg),PINNED,Tomate Redondo (Kg),https://supermercado.laanonimaonline.com/frutas-y-verduras/tomate-redondo-kg/art_2390/,estandar,si,,True,True,4990.0,4990.0,4990.0,4990.0,1.0,0.0,,
2025-09,papa_granel_kg,Papa Granel (Kg),PINNED,Papa Granel (Kg),https://supermercado.laanonimaonline.com/frutas-y-verduras/verduras-frescas/papa-granel-kg/art_58/,estandar,si,,True,True,1799.0,1799.0,1799.0,1799.0,1.0,0.0,,
2025-09,cebolla_kg,Cebolla Comercial Bolsita (Kg),PINNED,Cebolla Comercial Bolsita (Kg),https://supermercado.laanonimaonline.com/frutas-y-verduras/cebolla-comercial-bolsita-kg/art_57/,estandar,si,,True,True,999.0,999.0,999.0,999.0,1.0,0.0,,
2025-09,zanahoria_kg,Zanahoria Comercial Bolsita (Kg),PINNED,Zanahoria Comercial Bolsita (Kg),https://supermercado.laanonimaonline.com/frutas-y-verduras/zanahoria-comercial-bolsita-kg/art_3114/,estandar,si,,True,True,1199.0,1199.0,1199.0,1199.0,1.0,0.0,,
2025-09,coca_cola_1_5l,"Gaseosa Cola Coca-Cola Pet x 1,5 lt.",PINNED,"Gaseosa Cola Coca-Cola Pet x 1,5 lt.",https://supermercado.laanonimaonline.com/bebidas/gaseosa-cola-coca-cola-pet-x-1-5-lt/art_2175/,premium,no,,True,True,3450.0,3450.0,3450.0,2300.0,1.5,0.0,,
2025-09,agua_eco_2l,Agua Mineral sin gas Eco de los Andes x 2 lt.,PINNED,Agua Mineral sin gas Eco de los Andes x 2 lt.,https://supermercado.laanonimaonline.com/bebidas/agua-mineral-sin-gas-eco-de-los-andes-x-2-lt/art_2166/,premium,no,,True,True,2600.0,1560.0,1560.0,780.0,2.0,0.0,,
2025-09,vino_los_primos_750ml,Vino Tinto Cabernet Sauvignon Los Primos x 750 cc.,PINNED,Vino Tinto Cabernet Sauvignon Los Primos x 750 cc.,https://supermercado.laanonimaonline.com/bebidas/vinos-y-espumantes/tintos/vino-tinto-cabernet-sauvignon-los-primos-x-750-cc/art_23956/,estandar,no,,True,True,4450.0,4450.0,4450.0,5933.333333333333,0.75,0.0,,
2025-09,cerveza_imperial_lata_473ml,Cerveza Imperial Lata x 473 cc.,PINNED,Cerveza Imperial Lata x 473 cc.,https://supermercado.laanonimaonline.com/bebidas/cervezas/cerveza-imperial-lata-x-473-cc/art_4313/,premium,no,,True,True,1520.0,1140.0,1140.0,2410.1479915433406,0.473,0.0,,
2025-09,arroz_molinos_ala_1kg,Arroz grano largo fino Molinos Ala x 1 kg,PINNED,Arroz Grano Largo Fino Molinos Ala x 1 kg.,https://supermercado.laanonimaonline.com/almacen/arroz-pastas-y-legumbres/arroz-grano-largo-fino-molinos-ala-x-1-kg/art_2440/,estándar,si,Almacen,True,True,2100.0,1500.0,1500.0,1500.0,1.0,0.0,,
2025-09,arroz_dos_hermanos_1kg,Arroz grano largo fino Dos Hermanos x 1 kg,PINNED,Arroz Grano Largo Fino 00000 Dos Hermanos x 1 Kg.,https://supermercado.laanonimaonline.com/almacen/arroz-pastas-y-legumbres/arroz-grano-largo-fino-00000-dos-hermanos-x-1-kg/art_14392/,estándar,si,Almacen,True,True,1900.0,1900.0,1900.0,1900.0,1.0,0.0,,
2025-09,arroz_primor_1kg,Arroz largo fino Primor x 1 kg,PINNED,Arroz Largo Fino Primor x 1 Kg.,https://supermercado.laanonimaonline.com/almacen/arroz-y-legumbres/arroz-largo-fino-primor-x-1-kg/art_1601/,estándar,si,Almacen,True,True,1450.0,1450.0,1450.0,1450.0,1.0,0.0,,
2025-09,arroz_apostoles_1kg,Arroz grano largo fino Apóstoles x 1 kg,PINNED,Arroz Grano Largo Fino 00000 Apóstoles x 1 Kg.,https://supermercado.laanonimaonline.com/almacen/arroz-pastas-y-legumbres/arroz/arroz-grano-largo-fino-00000-apostoles-x-1-kg/art_2686/,estándar,si,Almacen,True,True,1850.0,1850.0,1850.0,1850.0,1.0,0.0,,
2025-09,arroz_maximo_1kg,Arroz largo fino Máximo x 1 kg,PINNED,Arroz Largo Fino Maximo x 1 Kg.,https://supermercado.laanonimaonline.com/almacen/arroz-pastas-y-legumbres/arroz/arroz-largo-fino-maximo-x-1-kg/art_13240/,2da marca,si,Almacen,True,True,1671.0,1671.0,1671.0,1671.0,1.0,0.0,,
2025-09,arroz_knorr_1kg,Arroz grano largo fino Knorr x 1 kg,PINNED,Arroz Grano Largo Fino 00000 Knorr x 1 Kg.,https://supermercado.laanonimaonline.com/almacen/arroz-y-legumbres/arroz-grano-largo-fino-00000-knorr-x-1-kg/art_5581/,premium,si,Almacen,True,True,85.0,85.0,85.0,85.0,1.0,0.0,,
2025-09,aceite_girasol_natura_1_5l,"Aceite de girasol Natura x 1,5 L",PINNED,"Aceite de Girasol Natura x 1,5 Lt.",https://supermercado.laanonimaonline.com/almacen/aceite-aderezos-y-condimentos/aceite-de-girasol-natura-x-1-5-lt/art_1963/,estándar,si,Almacen,True,True,5000.0,5000.0,5000.0,3333.3333333333335,1.5,0.0,,
2025-09,azucar_ledesma_1kg,Azúcar blanca Ledesma x 1 kg,PINNED,Azúcar Blanca Ledesma x 1 Kg.,https://supermercado.laanonimaonline.com/almacen/desayuno-y-merienda/azucar-y-endulzantes/azucar-blanca-ledesma-x-1-kg/art_1/,estándar,si,Almacen,True,True,1250.0,1250.0,1250.0,1250.0,1.0,0.0,,
2025-09,azucar_chango_1kg,Azúcar común A Chango x 1 kg,PINNED,Azúcar Común A Chango x 1 Kg.,https://supermercado.laanonimaonline.com/almacen/desayuno-y-merienda/azucar-y-endulzantes/azucar-comun-a-chango-x-1-kg/art_3354/,estándar,si,Almacen,True,True,1300.0,1300.0,1300.0,1300.0,1.0,0.0,,
